mass_1 mass_2 theta_jn luminosity_distance
5.9351763232074015 1.6161403156484577 2.562510879554013 540.4275955147936
5.645915733733378 1.6868165687916172 2.851147505367046 561.3786123485568
5.762312154711988 1.6582540726337758 2.749237423425206 604.5390386143606
5.872295961506833 1.6319943580681344 2.4530411187523047 329.82973362387656
5.933000509990597 1.6167897052430766 2.2361964402043215 385.50807660393815
6.0183457442664015 1.5983193176447807 2.533864880774879 472.10486597092864
5.865680558098872 1.6335271873978057 2.0954583943591945 387.3038654269483
5.954420742188058 1.6120531157769409 2.5626729178887295 508.0396906067934
5.745619450596452 1.6617648533582392 2.569361778154955 623.7937646626998
5.834358547247657 1.6400051558598108 2.363486228611675 565.7646320196646
5.647103557133692 1.6856149905358617 2.3840013936558795 425.92277481202814
5.723210561643756 1.6672863803771345 2.4195752014762575 518.0793862820265
5.908338763967129 1.622512187956285 2.798539794843635 470.653973386393
5.881359662541301 1.629447966667271 2.6004060578493235 343.6132940578926
5.669327674825534 1.6805449049084666 2.73490832037171 499.5805830368874
5.8448766921553785 1.6376389126459128 2.156511390436058 454.1715392718188
5.700666503093332 1.673015455467784 2.9196128415181137 510.2210678882423
5.965773526497339 1.6105356622427356 2.8491429577299656 468.02386082397277
5.783876503425824 1.652509983927998 3.013087071016689 706.3494951958489
5.848315218036327 1.6373710882528478 2.7834312133492807 379.8564273484431
5.802339225059831 1.6472075459612403 2.89296015225351 508.39350817370706
5.968965558349972 1.6096646746977052 2.593234855171064 402.7940735345186
5.851771436150397 1.6356930117267519 2.6933243919721184 592.9439302688228
5.97824689721455 1.607104634377794 2.1792406815161245 355.36422155734704
5.781671871578019 1.6535075165361728 2.9474776690093347 479.81845435880547
5.756546388213944 1.658610747354695 2.7175097408784064 629.7512743165759
5.961489438417364 1.6107376853383926 2.7266631304012 550.7386144031732
5.7415157503997385 1.662325086733607 2.047921610400087 383.02845857761906
5.682793269310208 1.6767813079908205 2.255028672336082 415.93360542694
5.993497128995348 1.604079872260482 3.135233572872292 545.4713976751855
5.7936495092302875 1.6504174954674267 2.7271615111375667 610.5956742193811
5.895406121890753 1.6266874581769546 2.939137268700886 609.2329137900498
5.932175517388549 1.617420470766991 3.0297666317220613 636.2595129627613
5.702582403718172 1.6718733243210167 3.0507121764014196 613.165075969913
5.917971475057125 1.621477263476929 2.711434345920105 543.9255132154229
5.734125001345921 1.6646145353643211 2.068687296074194 337.379670876388
5.898506737157084 1.6253817284808147 2.8518925298260194 670.0639203843089
5.777849883782719 1.6542432317242612 2.8524109486091547 615.0842697379319
5.984368304438058 1.6060621363477636 2.835848948166218 466.81472820149787
5.866474873277336 1.6321766804400477 2.1564881707008805 376.98668410719324
5.876392390948961 1.629840244315294 2.5098627678703966 442.1324685178277
5.8676119386039005 1.6319362047296773 2.998838360964162 527.1096600025745
5.907837921852543 1.6229114348992688 1.9121529560312738 283.2729053316354
5.781688032238998 1.6531591332241415 2.149031591533652 283.3200965361564
5.833379721153195 1.6409849111097277 2.9164719079136967 651.896321118874
5.894698652895358 1.6258400814469427 2.192527988790086 290.1136797993996
5.975947581153912 1.607771154676859 2.2436233677838153 364.6385742196652
5.753473332852464 1.6602292791674929 2.9623037796945586 535.5962126266176
5.698657368845099 1.6732435278200126 2.6396187417787425 526.4112472914869
5.882199897821663 1.6285714139716052 2.8097355277398357 538.6403552980609
5.7808341232511316 1.6532564979859083 1.943028901182896 264.9512259535532
5.969427808361163 1.6090519490217465 3.1181478439935515 540.460437772337
5.781238737273182 1.6531833958386295 2.9795343540755796 670.6746464638669
5.953437951201506 1.6130389651050434 2.302390661122873 333.6883272809333
5.960696885605308 1.6114496268580116 2.7173649226052716 557.3723843450502
5.807134293903581 1.6463559920845365 2.751678505790695 614.6878749128709
5.947215079219872 1.614615659408872 2.7097383447529846 554.5549325064039
5.934536304334759 1.6171988429766952 2.83867198546967 409.64593194661614
5.71283298221136 1.6692595486078778 2.8552524696330814 448.3217553846159
5.741213201336661 1.6629940601020539 2.8416674292631425 592.3579080278614
5.974258416452964 1.6081747812326466 3.0128947654927694 581.5368319766872
5.783992177638269 1.6517629519871286 2.895899197003628 592.0624628686236
5.775688329484248 1.6541430684572727 1.8669240722147709 280.9947615701895
5.897593446219956 1.6250014307491454 2.358311587090417 394.74722511037874
5.895444312663877 1.6262776410452746 2.6334711964884514 599.0408954263986
5.742359416059662 1.662657740929622 2.98967326010028 624.961302097187
5.867793681115069 1.632664547437368 1.9602518790253822 327.6677108807207
5.743095839587979 1.6623819359083094 3.103766313326384 438.6202352425594
5.856491566851448 1.6356949024057443 3.0548978288380697 451.2712407929236
5.7077428205419745 1.6704184189110105 2.8944892753519196 510.87631304686755
5.757165020622102 1.6589594602924942 3.058711781825525 656.877373806259
5.741060736555844 1.6631207877134218 2.5598973913978686 473.9588020012927
5.713719088705606 1.669496945053933 2.7555350110203283 573.9319918795235
5.878194220378868 1.6298424817016586 2.626985408546921 594.4916564775083
5.833431576637857 1.6410384092976495 2.791946416586784 416.6324446834673
5.746449893701531 1.6610785538089763 2.3623978158348877 319.86233644094466
5.95627830075073 1.612598859979404 2.7408277247807207 524.7648128750099
5.804561861494667 1.6467526364353753 2.2691286825183075 417.2522351588349
5.9270668102557496 1.6191757713489614 2.578646099794654 535.8764842867162
5.977930718799367 1.6073078000931558 3.0025130150791046 544.7184622848135
5.817947911802811 1.6439885437651043 2.1243323750958747 255.83936954707116
5.758284584773313 1.6587744998510032 2.149538800340739 377.72736324013243
5.8296965515610015 1.6413240140194403 2.019696552013831 239.42095685391277
5.716167422987073 1.668629192458381 2.131128167479209 286.15190117788154
5.821611962341553 1.6428957944618683 2.6084873316308945 374.35226896921336
5.931361943870439 1.6177526862891085 2.336380511079762 467.80666432950045
5.854485226507539 1.6351015967887887 2.6555721363530695 556.4790922232509
5.8466549193251875 1.636941288401323 2.899304879019568 598.7999652421765
5.781928491423812 1.6522792982150158 2.7944749365542014 579.2160424243169
5.9359203864351935 1.6164805629608863 2.9206487391177713 562.537760989124
5.765393155425093 1.6572714724754045 3.0172148514493933 587.7357330206578
5.957107184355939 1.6117281893782924 2.5744880870197564 457.3303737658833
5.883200022073127 1.629249279399186 3.0446231395072254 662.0603026327077
5.840849785003663 1.638235046913814 2.0631619411512965 349.9261709007224
5.76187854538888 1.6578366560548525 3.0872502835887206 652.2795374724161
5.909611962945621 1.6225334774739548 3.069334197055234 619.2377619907386
5.787573825428863 1.6515845030474041 2.0221929802065377 350.40834722677306
5.911571103562958 1.622172272441372 2.363076225283766 482.2085358481001
5.791004237904523 1.650386444225046 2.6949221300872437 376.3341915287876
5.9539748095094716 1.6131611190180226 2.940313832214093 518.7101995254177
5.835328870744018 1.6400571924214846 1.8622625145819034 256.09731612220185
5.791163810090697 1.6510709148083373 2.644353266962474 532.3343009440891
5.783745313234502 1.6527204441604653 2.883361282463925 621.1275190727486
5.855072947523649 1.6350036490337674 3.1083718749551674 600.2425174166997
5.7644499555621 1.6563931307949815 2.525400158902577 469.29031238907044
5.8090609327417395 1.646860378547974 2.5476446315566506 482.54542081840106
5.769797370652465 1.6562628440340106 2.9619751411809285 503.65016583409124
5.703745297579289 1.6715673838878113 2.8819362526316654 472.7966666524458
5.908843733312848 1.6225330971748637 2.7209231019731392 515.2461828221345
5.878021797182004 1.6298037894952728 2.6409377339165516 576.8015586321484
5.884735537974255 1.628311618808941 2.5285141492563263 352.46756758621046
5.90593934747433 1.6242293016578218 2.8391847000318866 472.7353287924067
5.6978810513213904 1.6729346922862125 2.505500489267868 458.1761905428917
5.868632598961436 1.632167089653888 3.108699757590583 669.541112015602
5.883513371344534 1.6288128165987752 2.716161085837728 376.914729500313
5.967875849900428 1.6095235621397026 3.12506412273288 545.0920023931291
5.816347747296457 1.6447114387675512 1.9265745508355312 299.9872141434028
5.793303292304193 1.6494015455884765 2.247323050976303 368.6453499825223
5.936685075674439 1.6164041435016228 2.98598509768405 585.8647475616364
5.936180899587381 1.616531117825109 3.114732924915243 473.29657983122064
5.834891031885853 1.6403753646468453 2.6512603281335774 605.8012686255756
5.733942416280434 1.6645385889414515 2.2311753912929926 410.21815240699215
5.700230643509368 1.6726415326051058 2.736654365210422 541.6417867240193
5.936250639805235 1.6164978126818443 2.7171018302001904 424.43503701938494
5.899469294920081 1.62467672818727 2.6587002149996604 509.986560492034
5.892963710875429 1.6261453077128918 2.805539650624801 501.7498354803168
5.957508140068105 1.611973876476106 2.2360232410353187 335.6670817190114
5.892950956847852 1.6263319550708961 2.631280365734887 387.03130970292085
5.757228862303601 1.6581311232682578 2.2913112414856154 360.41291678514824
5.767846137580489 1.6563800381848477 3.030955078975356 428.07409845222764
5.7238853739428555 1.666495367127233 2.826065932349847 555.5320869135362
5.881109052514334 1.6299048160891574 2.9337462145684228 446.1777877312466
5.729660583037629 1.6656059319338286 3.0224709665757614 452.9209464240044
5.762535926169443 1.657243781810977 3.0258089013640386 432.05256667737274
5.869760365157275 1.631608703947389 2.8000214179511356 427.03139347846206
5.844568262913261 1.6381844971039512 2.8768554982224104 647.4564294503663
5.833108538759407 1.6401817492048854 2.3594403424188095 477.41600667594
5.836775888068455 1.6394738033936458 2.958777383584804 646.1804589192307
5.870111784977029 1.632336864961295 2.7105390131024953 586.5459948622866
5.736697287256552 1.6632864223557875 2.0623997119439403 285.49515542219314
5.951750000887781 1.6133180447387632 2.53004374759739 500.5023567144171
5.940922880729195 1.6154889421843879 3.057747838317978 584.615781190136
5.802219559213721 1.647404015798846 1.9805519070021496 309.211772213908
5.927209085923757 1.6188335456804333 2.9149694052949653 623.9374769336217
5.795584356119196 1.6499634991711005 2.2095217383785437 353.28705598509254
5.889504377533497 1.6274545945946635 2.5949352674023767 578.5184360432214
5.716833979933421 1.6685242582242732 2.8268154066620736 437.327065241165
5.7215066318040195 1.6676210879674096 3.0434454712061907 590.305218477106
5.8672232593465266 1.6327519463085527 3.0941469698130737 672.8650180671893
5.864118676557159 1.6329034608313322 2.1026807212335155 369.40956736547093
5.9448668915562495 1.6152039011714288 2.762966963562021 488.39578407572424
5.749699948978692 1.6609909796575049 2.5816219591409233 471.886362579166
5.806708525863239 1.6468842019017016 2.0679561916758447 253.65841542548347
5.920065959481392 1.6202201430840917 2.7083439344703204 406.9915392303357
5.8397949838699645 1.6387610683419536 3.008616266051488 644.4752876767774
5.7133513912130525 1.6695623934757184 2.6118889348201892 413.68076668989363
5.867958429937851 1.632898249278398 2.7689392484422495 584.058928618168
5.8245266158703 1.6420893831569594 2.3856075843199047 454.7006620691735
5.891157279432656 1.6272066098575662 2.707474440722143 604.5767664997586
5.944948860461757 1.6147933778665733 2.4045045734260744 354.24959820578084
5.7750010549551005 1.6538405959626026 2.236223188130601 340.7363752674954
5.858330460334477 1.6341069922632603 2.169579601000797 338.52769037890386
5.890488173549534 1.6273599932911638 2.4926645227077597 536.6349808016099
5.830107140698537 1.6415482255408684 1.9594850554465681 289.1846826283391
5.806800333145255 1.647325041817175 2.663456778119936 414.9756622538172
5.803714476476896 1.647321688090977 2.3100193543650476 300.81735891617393
5.883202149361632 1.6289440822997996 2.9181229136377373 651.2622595338792
5.855607532885436 1.6358134184272677 2.7581339511046097 571.1381309575711
5.802937563203088 1.647750765833481 2.002822796591272 348.7641748179176
5.753419257198405 1.6591557897955922 2.7409147166258627 516.8944381006423
5.862182505601896 1.6342766989406905 2.6135532877929433 527.5527245316935
