mass_1 mass_2 theta_jn luminosity_distance
5.581497922026067 1.5975139951682764 3.0157468182400025 471.12899769499904
5.3608358176032045 1.652495253612114 2.885898172476788 550.3619118480739
5.300482514945728 1.6695376730198126 2.7044660446883086 376.88840587103175
5.545690609676689 1.6065611308277412 2.360041302355025 369.365821303931
5.469522076797295 1.6254547423210768 1.827035090198844 253.39254036255528
5.356191593220608 1.6546275674975734 2.7232274862648462 338.92107303250856
5.428382463537345 1.6360964709068568 2.395405278861115 446.39489411512733
5.301352265032991 1.6693674456587613 3.0898452350052814 511.1834109555838
5.335571067364602 1.6595997141975662 2.8778395401287518 600.4746861649903
5.4946739332458305 1.6187209561353162 2.9533995211820043 559.066753563465
5.369428158764191 1.6507420205042187 1.7710103211046482 250.51851770019397
5.256444180607199 1.6805287454570401 2.343696173318985 378.5572583997753
5.445339054525342 1.6311764850428077 1.960158205097842 312.17607936564076
5.3567532267480455 1.6534933990756526 2.654880329254154 400.23140001210743
5.386688470991839 1.6457454112432224 2.5892809752309764 456.5906412769372
5.508239050009422 1.6159246037391433 2.084573508398855 296.4789565407628
5.260868841237471 1.679960263570215 2.8532079212351036 477.1546990190542
5.278813029002744 1.674945913776019 3.044393559825605 551.6282041865916
5.451874540060999 1.6301092666585113 2.0706038184985354 321.87802817724156
5.463713707423346 1.626873833837217 1.933464968518757 209.3271480417217
5.494773811944016 1.6190280445656395 2.1192168328330454 342.4571305092594
5.298094400869129 1.6692054703955979 2.1314453810991676 332.5520890577857
5.305212594245466 1.668202704942097 3.0068517262231427 521.7617257680452
5.4776283958521095 1.6232614853871308 3.0551367346730687 370.23287138404334
5.417877130913796 1.6381545754334803 2.698315591926384 550.0329122282839
5.321521855568223 1.663796331435833 2.4652585302983714 435.6290884596586
5.298715110715204 1.6690582617032736 2.650447240766382 376.4591256142764
5.438009246770174 1.63321754251684 2.5026120940673007 494.9221115374211
5.4474525115758 1.6303664809353757 2.614782352303305 468.98493292997443
5.295738294433789 1.6702353040415872 2.4618497651536786 452.14815585986514
5.419918411973024 1.6377577450464968 3.038870497439836 360.27236734492357
5.394870766087532 1.6439936354929914 2.93186597684387 579.1980736970893
5.290623100694856 1.6718373141421834 2.4174716066196122 315.18348560327036
5.511140457416282 1.614630991477327 2.6215325381150487 427.495489094544
5.328401886856172 1.6611764257709565 3.09575090706772 520.1258782836915
5.499897353349676 1.6177756713935711 2.1769433745460245 342.5888691332219
5.470837814013142 1.6247222513838622 2.2800060523182255 390.1366890036131
5.486981661738243 1.6211939277318268 2.014066253257272 261.8941993954536
5.406870251492214 1.6411738424412843 2.16735272077811 381.6199618675657
5.44302720897552 1.632495809196867 2.745165982536262 400.3319606600312
5.323346037696474 1.6624890126692389 3.0745924948647656 442.99832061660265
5.310373398182818 1.6660138660735515 2.003487276879187 295.49524426744017
5.3609211177316185 1.6527861411429408 2.999439015979921 376.66243312339157
5.481042808734247 1.6223656137445417 2.2658130512719388 270.7683084073863
5.28190513620924 1.6742301300479894 2.4853068520409494 351.7154740132548
5.338370452338419 1.6595051526462046 2.9347037277280124 433.596656550553
5.380357016299896 1.648462232391616 2.1187449936004894 315.5581965447215
5.346527763736912 1.6562904819812625 2.3480720968609985 311.0024865120449
5.511080898467416 1.6147958526060187 2.590305920707099 443.242646641673
5.339747737766956 1.6580911527924713 2.896892366501571 460.4928929399599
5.280578023875544 1.6741606363301345 2.958906285922615 500.39553850805095
5.372010598206939 1.649871839823256 2.06025896281701 223.61035356251983
5.465358745184732 1.6266553528996064 2.871937525121685 538.6180678453329
5.355402581500082 1.654942475663601 2.7374160440455793 493.49051451121096
5.512618890474303 1.6144627675471126 3.1042486471768704 522.6661533812173
5.515121879385948 1.6141121963843739 2.941347501569062 514.3301788533661
5.416769505784168 1.639064901464105 1.9779289386080008 258.055307364698
5.467183112057709 1.6257739110726184 2.901924405251432 370.25595000706755
5.415082382371264 1.6395958272636364 2.5784125007351695 384.9113113236651
5.459591777257288 1.6274101139999546 3.0951368460966497 520.4450950398655
5.328060737666007 1.6613994811465314 2.993710513159083 396.27768657971626
5.329561249837821 1.6608723714272178 2.39280616088844 408.1583709390901
5.297686692393724 1.6697066778312206 2.8767922974431075 524.3864281686926
5.305762266257666 1.6676481501759364 2.314438626066071 397.40346258943094
5.315994703358368 1.6650963256079283 2.762826780956506 370.97555454888425
5.2979656653187215 1.6700361775007218 3.0054367933788413 491.53519991556317
5.4260951027001 1.6360319863881265 3.104274701493618 571.2406835770763
5.453706122805449 1.6289086633211274 2.0796713639199496 308.03190574863345
5.356130208381025 1.6548138623346444 2.758191472807497 405.85408272428504
5.405571444687568 1.6413742547942767 2.3823700651546367 444.22762593881487
5.413878411940432 1.639604360854618 2.7327854141745496 533.7659773623886
5.5184819127744635 1.613145860129121 2.658382516541381 388.06910640117576
5.3326767671849336 1.6605276191827718 1.9977464214684484 308.47190218750507
5.279889820635355 1.6742266152874872 2.4846304923717404 383.10582644665897
5.362825982289449 1.6523846223779333 1.8632395902196488 206.76586854876302
5.425536350730136 1.6362718838536146 2.946500309608217 572.9139099440167
5.349521580521755 1.6556626829346186 2.246668641901576 377.24895395779936
5.361493799370816 1.6526134301905884 2.871002878920938 542.6080601006058
5.3878516503561205 1.6464575086633224 2.6237171321299084 348.98365394639836
5.514046894068531 1.6141122554504228 2.505813525196481 399.33939851271776
5.352614464608658 1.6554747104497984 2.482783427263027 452.0078225450492
5.32843239193978 1.6611778781678868 3.107463614623821 472.2582856578025
5.298637180807989 1.6692859278641459 2.76648092519597 489.5941195693937
5.392233564446418 1.6453909896282783 2.103358537051312 275.5872316040301
5.3080235966532285 1.6672806371183952 2.3158935556834352 306.8930478611874
5.413782447107595 1.6389786287419787 2.770434633885443 499.4394721690236
5.32704555161738 1.6620110312334213 2.2284125114401996 377.5576961637824
5.377860968095787 1.6481967486277296 2.5191314217080945 335.770818891557
5.37401913478862 1.6491502152181792 2.9463996527609035 474.7545833951053
5.412507069691078 1.6402734316855703 2.8832137415000254 474.70378336440194
5.395777894382247 1.6445934885888849 2.9580657804347386 460.63413374523617
5.321114975299769 1.6635676828781798 2.801004780783493 527.0522812319152
5.426630146799517 1.6357791259648498 2.4212899014981932 428.5077319670877
5.3404705707675415 1.6588338372869362 2.8713521469946612 500.36326943865566
5.31499680011663 1.6649340268176052 2.9459582595900917 526.3823482741168
5.314931475249206 1.6652062455649248 2.1088223736173215 241.45269683175493
5.367635234364229 1.650930183066038 2.7416849934986494 502.66802969533
5.402093175154014 1.6429023194446857 2.694563780584338 394.7648280001806
5.3406310270771264 1.65885952208896 3.068840854841361 436.62254144104276
